Num Nodes,Num Edges,Time Taken,Cluster
50,391,2.0921316146850586,"[ 1. -1.  1. -1. -1.  1.  1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.
 -1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1. -1. -1.  1.
 -1. -1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1.  1.  1.]"
50,405,2.1184489727020264,"[-1. -1.  1.  1. -1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1. -1.
 -1.  1.  1. -1. -1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1.  1. -1. -1.
  1. -1. -1. -1. -1.  1. -1.  1.  1. -1. -1.  1. -1.  1.]"
50,389,2.0509703159332275,"[-1. -1.  1.  1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1.
  1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1. -1.  1.  1.
 -1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.]"
50,405,2.1035385131835938,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1.  1.  1. -1.  1. -1.
 -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1. -1.]"
50,400,2.108003616333008,"[ 1. -1.  1.  1.  1.  1. -1. -1. -1.  1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.  1. -1.
 -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1.]"
50,399,2.068321704864502,"[-1. -1.  1.  1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1.
  1. -1. -1. -1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.
 -1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1.  1.  1.  1.]"
50,405,2.1615712642669678,"[-1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1. -1.
  1.  1.  1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1.  1.  1. -1. -1.  1.
  1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.]"
50,401,2.1164345741271973,"[ 1. -1. -1.  1.  1. -1.  1.  1. -1.  1. -1.  1.  1.  1. -1. -1.  1. -1.
 -1.  1.  1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1.
  1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1.]"
50,405,2.0931217670440674,"[ 1. -1. -1.  1.  1.  1. -1.  1.  1. -1. -1.  1. -1.  1. -1. -1.  1.  1.
 -1. -1. -1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1. -1. -1.  1.  1.
  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.]"
50,405,2.1357791423797607,"[ 1.  1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1. -1.  1. -1.  1. -1.  1.
 -1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1. -1. -1. -1.  1.  1.  1. -1.
  1. -1. -1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1.  1.]"
