Num Nodes,Num Edges,Time Taken,Cluster
100,4950,27.334596157073975,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,27.53898024559021,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,28.80523657798767,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,27.75394320487976,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,27.244858980178833,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,27.93078851699829,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,27.310834884643555,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,27.5319766998291,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,28.097445249557495,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
100,4950,27.32417321205139,"[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.]"
