Num Nodes,Num Edges,Time Taken,Cluster
50,795,2.873906135559082,"[-1. -1. -1. -1. -1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1.
  1.  1. -1.  1.  1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1.  1.
  1. -1. -1. -1.  1.  1. -1.  1. -1.  1. -1.  1. -1.  1.]"
50,790,2.778566837310791,"[ 1. -1. -1. -1.  1.  1. -1. -1. -1.  1.  1. -1. -1.  1.  1. -1. -1. -1.
  1.  1. -1. -1. -1. -1.  1. -1.  1.  1. -1.  1. -1.  1. -1.  1.  1. -1.
 -1.  1. -1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1.]"
50,809,2.815796136856079,"[-1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1.
  1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.
  1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1.]"
50,804,2.8405489921569824,"[-1.  1. -1.  1.  1. -1. -1. -1.  1. -1.  1.  1. -1.  1.  1. -1. -1.  1.
  1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1.
  1.  1. -1. -1. -1.  1.  1.  1. -1.  1. -1.  1.  1.  1.]"
50,755,2.7667438983917236,"[-1. -1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.  1.  1.  1.
  1.  1. -1.  1. -1.  1.  1.  1. -1. -1.  1.  1. -1. -1.]"
50,803,2.806187868118286,"[-1.  1. -1.  1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1.  1. -1.
  1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1. -1. -1.  1. -1.  1.
  1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1.  1. -1.]"
50,801,2.8048837184906006,"[-1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1. -1. -1.  1.  1. -1.
  1.  1.  1.  1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1.
 -1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1. -1.]"
50,806,2.831667900085449,"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1.  1. -1. -1.  1. -1. -1.  1.  1.
 -1. -1. -1.  1.  1.  1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1. -1. -1.
  1.  1. -1. -1. -1.  1.  1.  1. -1. -1.  1.  1. -1. -1.]"
50,784,2.8118274211883545,"[-1.  1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1. -1.  1.  1.
 -1. -1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1. -1.  1. -1.
 -1.  1.  1. -1. -1.  1. -1. -1.  1.  1. -1. -1. -1.  1.]"
50,809,2.8411600589752197,"[-1.  1.  1.  1. -1. -1. -1. -1.  1.  1. -1.  1. -1. -1.  1. -1.  1. -1.
 -1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.
 -1.  1. -1. -1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1.]"
