Num Nodes,Num Edges,Time Taken,Cluster
100,3203,21.02158761024475,"[ 1. -1. -1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1. -1.
  1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.
  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1.  1.  1.
  1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1.  1. -1.
 -1.  1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1.  1. -1.
 -1.  1. -1.  1. -1.  1.  1.  1. -1.  1.]"
100,3258,21.28049921989441,"[-1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1. -1.  1.  1. -1. -1.
 -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1.
 -1.  1. -1. -1. -1.  1.  1. -1. -1.  1. -1.  1. -1. -1. -1.  1.  1. -1.
 -1.  1.  1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1.
  1. -1. -1. -1. -1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1. -1.
  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.]"
100,3267,22.260064840316772,"[-1.  1. -1.  1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.
  1.  1. -1. -1.  1. -1.  1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1.
  1.  1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1. -1.  1.  1. -1.
  1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.  1.
 -1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1.
 -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.]"
100,3221,21.390376806259155,"[ 1.  1.  1. -1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1.
  1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1.  1.  1.  1.
 -1.  1.  1. -1. -1. -1. -1.  1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1.
  1.  1.  1. -1. -1.  1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1.
 -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.]"
100,3246,21.26511788368225,"[ 1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.
 -1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1. -1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.
  1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1. -1.
  1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
 -1.  1. -1. -1. -1.  1. -1. -1. -1.  1.]"
100,3267,21.842849016189575,"[ 1. -1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1.  1.  1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1.
 -1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1. -1.  1.
 -1.  1. -1. -1.  1. -1. -1. -1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.
 -1. -1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1.
  1. -1.  1. -1.  1.  1. -1.  1. -1.  1.]"
100,3262,21.925213098526,"[-1. -1. -1. -1.  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1.  1.  1. -1.  1. -1.  1.  1.  1. -1. -1.  1. -1.  1. -1.  1.  1.  1.
 -1. -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1.  1.  1. -1.
  1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1. -1. -1. -1.  1.  1. -1.  1.
 -1. -1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.  1.
  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.]"
100,3267,21.547335624694824,"[ 1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1. -1. -1. -1.
  1. -1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1.
  1.  1.  1. -1.  1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
 -1. -1.  1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1. -1.  1. -1.  1.  1.
  1. -1. -1.  1.  1. -1. -1.  1. -1. -1.  1.  1. -1. -1. -1. -1. -1.  1.
  1.  1.  1.  1.  1. -1.  1. -1. -1. -1.]"
100,3263,21.757641792297363,"[-1.  1.  1. -1. -1. -1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1.  1.  1.  1. -1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1.  1.
 -1.  1. -1. -1.  1.  1.  1.  1.  1. -1.  1.  1. -1.  1.  1. -1.  1. -1.
  1.  1.  1.  1.  1.  1. -1.  1. -1. -1. -1. -1.  1. -1.  1.  1. -1. -1.
  1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1.  1. -1.
 -1.  1. -1. -1.  1. -1.  1. -1. -1.  1.]"
100,3267,22.077979564666748,"[-1. -1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.  1. -1. -1.  1.
 -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1. -1.
  1.  1. -1. -1.  1. -1.  1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1.  1.
  1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.
  1. -1.  1.  1.  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1. -1.
  1.  1.  1. -1.  1. -1.  1. -1.  1. -1.]"
